Timestamp,Alipur_Max_AQI,Anand_Vihar_Max_AQI,Ashok_Vihar_Max_AQI,Aya_Nagar_Max_AQI,Bawana_Max_AQI,DrKarni_Max_AQI,DTU_Max_AQI,CRRI_Max_AQI,Chandni_Max_AQI,Burari_Max_AQI,Dwarka-Sector_8_Max_AQI,IGI_Airport_(T3)_Max_AQI,ITO_Max_AQI,Jahangirpuri_Max_AQI,Jawaharlal_Nehru_Stadium_Max_AQI,NSIT_Max_AQI,Najafgarh_Max_AQI,Narela_Max_AQI,NehruNagar_Max_AQI,NorthCampus_Max_AQI,Rohini_Delhi_Max_AQI,Shadipur_Delhi_Max_AQI,Sirifort_Delhi_Max_AQI,Sonia_Vihar_Delhi_Max_AQI,Wazipur_Delhi_Max_AQI,LodhaRoad(IITM)_Max_AQI,LodhaRoad(IMD)_Max_AQI,MajorDhyanChandStd_Max_AQI,Mundka_Max_AQI
02-01-2017 12:00,,197.1240253,,,,,272.8468468,,,,,,55.95326087,,,,,,,,,186.1003161,240.9369369,,,,,,
02-01-2017 13:00,,164.166491,,,,,273.8378378,,,,,,66.56223176,,,,,,,,,169.7222339,186.9109589,,,,,,
02-01-2017 14:00,,203.6256522,,,,,273.8378378,,,,,,153.8398314,,,,,,,,,159.5917808,168.0544784,,,,,,
02-01-2017 15:00,,263.8865217,,,,,273.8378378,,,,,,148.3994975,,,,,,,,,162.0495258,165.8342466,,,,,,
02-01-2017 16:00,,292.4673913,,,,,342.8737475,,,,,,145.321608,,,,,,,,,171.570706,164.5640674,,,,,,
02-01-2017 17:00,,429.7718994,,,,,349.254509,,,,,,155.5179136,,,,,,,,,187.6028451,175.6135933,,,,,,
02-01-2017 18:00,,191.7903056,,,,,349.254509,,,,,,182.6253952,,,,,,,,,188.8368809,213.981982,,,,,,
02-01-2017 19:00,,432.1843575,,,,,349.254509,,,,,,234.4459459,,,,,,,,,204.7459459,283.3018018,,,,,,
02-01-2017 20:00,,266.5738739,,,,,366.8016032,,,,,,284.7387387,,,,,,,,,216.5387387,344.4689379,,,,,,
02-01-2017 21:00,,375.119162,,,,,368.3967936,,,,,,308.5771543,,,,,,,,,238.3504505,469.8509018,,,,,,
02-01-2017 22:00,,457.5651955,,,,,368.3967936,,,,,,310.3717435,,,,,,,,,210.1864865,419.8018036,,,,,,
02-01-2017 23:00,,434.0628056,,,,,368.3967936,,,,,,271.1126126,,,,,,,,,182.857745,352.5246493,,,,,,
03-01-2017 00:00,,356.5865922,,,,,326.1242485,,,,,,241.1351351,,,,,,,,,195.0018967,85.88586957,,,,,,
03-01-2017 01:00,,348.6154749,,,,,321.3386774,,,,,,240.6396396,,,,,,,,,193.6542677,419.0440882,,,,,,
03-01-2017 02:00,,301.9227374,,,,,321.3386774,,,,,,234.4459459,,,,,,,,,196.2152792,322.4313828,,,,,,
03-01-2017 03:00,,274.8288288,,,,,321.3386774,,,,,,248.3198198,,,,,,,,,199.1945205,298.6423423,,,,,,
03-01-2017 04:00,,250.2225225,,,,,313.3627255,,,,,,245.3468468,,,,,,,,,197.4131718,290.0405405,,,,,,
03-01-2017 05:00,,275.1352174,,,,,312.5651303,,,,,,232.463964,,,,,,,,,192.0071654,290.8531532,,,,,,
03-01-2017 06:00,,335.4636872,,,,,312.5651303,,,,,,216.8558559,,,,,,,,,179.4396207,286.3540541,,,,,,
03-01-2017 07:00,,365.8473184,,,,,312.5651303,,,,,,17.66981132,,,,,,,,,176.6669125,274.0063063,,,,,,
03-01-2017 08:00,,357.7648497,,,,,294.6486486,,,,,,25.94339623,,,,,,,,,173.6979979,228.7279279,,,,,,
03-01-2017 09:00,,371.3239679,,,,,291.6756757,,,,,,37.71698113,,,,,,,,,196.9742887,226.4684685,,,,,,
03-01-2017 10:00,,369.32998,,,,,291.6756757,,,,,,51.37282609,,,,,,,,,218.3027027,219.7594595,,,,,,
03-01-2017 11:00,,411.8063128,,,,,291.6756757,,,,,,90.00826087,,,,,,,,,232.0477477,251.2927928,,,,,,
